quarter,model_price,confidence,days_ahead,ice_price,difference_pct,ice_data_available,action
Q1 2026,15.360874832153321,0.6561643835616439,175,14.97,2.6110543230014738,True,HOLD
Q2 2026,15.16487483215332,0.5813698630136986,266,14.48,4.729798564594747,True,HOLD
Q3 2026,15.200874832153321,0.5057534246575344,358,14.57,4.329957667490191,True,HOLD
Q4 2026,15.886321099016937,0.3,449,,,False,MODEL_ONLY_NO_ICE
Q1 2027,15.40887483215332,0.4,539,15.09,2.1131532945879368,True,HOLD
Q2 2027,15.30087483215332,0.4,631,14.82,3.244769447728208,True,HOLD
Q3 2027,15.32487483215332,0.4,723,14.88,2.989750216084134,True,HOLD
Q4 2027,18.154574625329573,0.3,814,,,False,MODEL_ONLY_NO_ICE
